Realization 0
     
      Week             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q             Av_vol.   Demands   Up_spil    Catc_Q     Out_Q
        72                 100     2.202         0     10.97      8.77               373.7     4.731         0     6.441         3                 400     8.808     11.77     4.531     7.494                 550     11.01     9.494     6.441     4.925               493.9     6.279         0     4.531         2
        73                  99     2.212         0      4.21         3               368.9     4.765         0     2.991         3               396.4      8.85         6     1.219         2               542.9     11.06         4     2.991         3               486.8     6.297         0     1.219         2
        74                 100     2.516         0     7.604     4.087               366.5     5.427         0     6.038         3                 393     10.07     7.087     1.567         2               537.4     12.59         4     6.038         3               479.2     7.161         0     1.567         2
        75                 100     2.409         0     7.574     5.165               363.4     5.146         0     5.046         3               392.2     9.465     8.165     2.528         2               531.6     11.87         4     5.046         3                 473     6.728         0     2.528         2
        76                 100     2.522         0     16.51     13.99               366.9     5.394         0     11.88         3                 400     9.892     16.99     4.631     3.907               533.9     12.41     5.907     11.88         3               468.6     7.021         0     4.631         2
        77                 100     2.451         0     14.93     12.48               371.2     5.382         0     12.64         3                 400     9.804     15.48     2.289     7.968               541.3     12.25     9.968     12.64         3               462.1     6.873         0     2.289         2
        78                 100     2.301         0     13.43     11.13               374.4     5.126         0     11.34         3                 400     9.205     14.13     2.094     7.017               547.1     11.51     9.017     11.34         3               455.8      6.38         0     2.094         2
        79                 100     2.424         0     9.686     7.262               369.8     5.466         0     3.841         3                 400     9.696     10.26     5.845     6.411               544.3     12.12     8.411     3.841         3                 453     6.654         0     5.845         2
        80               99.69     2.623         0     5.314         3               363.1     5.896         0     2.259         3               396.6     10.49         6     3.055         2               534.4     13.12         4     2.259         3               446.8     7.222         0     3.055         2
        81                 100     2.562         0     7.756     4.884               361.6     5.719         0     7.194         3               392.8     10.19     7.884    0.5621         2               529.8     12.75         4     7.194         3               438.3     7.036         0    0.5621         2
        82                 100     2.444         0     10.07     7.628               362.9     5.444         0     9.716         3               392.2     9.599     10.63    0.3554         2               528.5     12.04         4     9.716         3               430.1     6.598         0    0.3554         2
        83               99.15       2.4         0     4.552         3               358.4     5.405         0     3.874         3               387.5     9.411         6    0.6783         2               521.6     11.81         4     3.874         3               422.3     6.406         0    0.6783         2
        84                 100     2.354         0     10.32     7.121               359.3     5.302         0     9.263         3               387.4     9.197     10.12     1.059         2               520.3     11.55         4     9.263         3               415.2     6.249         0     1.059         2
        85               99.87     2.395         0     5.262         3               355.4     5.416         0     4.469         3                 383     9.279         6    0.7932         2               514.1     11.67         4     4.469         3               407.7     6.258         0    0.7932         2
        86                 100     2.225         0     41.42     39.06                 375      5.01         0     40.19     15.55                 400     8.533     54.61     1.234     30.28                 550     10.76     32.28     40.19      25.8               401.2     5.748         0     1.234         2
        87                 100     2.141         0     18.74     16.59                 375     5.171         0     11.27     6.095                 400     8.562     22.69     7.469      21.6                 550      10.7      23.6     11.27     24.16               401.1     5.532         0     7.469         2
