0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,2st_vol,2capacity,2net_inf,2st_rof,2lt_rof,2rest_demand,2unrest_demand,2unfulf_demand,2wastewater,2treat_capacity,2cont_fund,2ins_pout,2ins_price,2infra_npv,2debt_serv,3st_vol,3capacity,3net_inf,3st_rof,3lt_rof,3rest_demand,3unrest_demand,3unfulf_demand,3wastewater,3treat_capacity,3cont_fund,3ins_pout,3ins_price,3infra_npv,3debt_serv
3558,3558,366.663,0,0,64.5129,64.5129,0,35.4691,299997,0.159984,0,0,0,0,6349,6349,892.057,0,0.02,230.165,230.165,0,131.422,99999,0.278778,0,0,0,0,3943.75,3943.75,1020.4,0,0,166.501,166.501,0,0,448,5.19812,0,0,0,0,17072.1,17489.7,977.656,0,0,466.182,466.182,0,268.652,199998,0.799355,0,0,0,0
3558,3558,999.424,0,0,61.5748,61.5748,0,39.9948,299997,0.165888,0,0,0,0,6349,6349,3682.81,0,0.02,221.924,221.924,0,142.691,99999,0.287586,0,0,0,0,3943.75,3943.75,672.616,0,0,176.804,176.804,0,0,448,5.35345,0,0,0,0,17066,17489.7,5165.83,0,0,433.451,433.451,0,289.01,199998,0.821632,0,0,0,0
3558,3558,1824.99,0,0,68.2578,68.2578,0,38.1733,299997,0.172433,0,0,0,0,6349,6349,5076.99,0,0.02,233.321,233.321,0,137.582,99999,0.296846,0,0,0,0,3943.75,3943.75,1588.04,0,0,167.619,167.619,0,0,448,5.5007,0,0,0,0,17170.5,17489.7,7309.75,0,0,423.956,423.956,0,268.718,199998,0.843421,0,0,0,0
3558,3558,572.688,0,0,59.1656,59.1656,0,42.3164,299997,0.178106,0,0,0,0,6349,6349,1821.48,0,0.02,206.317,206.317,0,144.648,99999,0.305034,0,0,0,0,3943.75,3943.75,563.453,0,0,184.727,184.727,0,0,448,5.66299,0,0,0,0,17153,17489.7,2183.96,0,0,420.278,420.278,0,262.831,199998,0.865022,0,0,0,0
3558,3558,338.618,0,0,62.9302,62.9302,0,43.1933,299997,0.18414,0,0,0,0,6349,6349,1777.25,0,0.02,204.854,204.854,0,150.62,99999,0.313164,0,0,0,0,3943.75,3943.75,271.517,0,0,199.27,199.27,0,0,448,5.83806,0,0,0,0,17093.5,17489.7,1137.22,0,0,516.069,516.069,0,306.82,199998,0.891545,0,0,0,0
3558,3558,478.162,0,0,60.9299,60.9299,0,45.9416,299997,0.189835,0,0,0,0,6349,6349,3555.82,0,0.02,197.712,197.712,0,149.552,99999,0.321034,0,0,0,0,3943.75,3943.75,340.507,0,0,189.51,189.51,0,0,448,6.00533,0,0,0,0,17002.2,17489.7,1183.19,0,0,496.708,496.708,0,376.751,199998,0.918083,0,0,0,0
3557.76,3558,145.708,0,0,54.0448,54.0448,0,44.4813,299997,0.194886,0,0,0,0,6349,6349,584.16,0,0.02,196.95,196.95,0,144.337,99999,0.328874,0,0,0,0,3943.75,3943.75,95.0358,0,0,164.981,164.981,0,0,448,6.15095,0,0,0,0,16960.5,17489.7,487.296,0,0,484.107,484.107,0,362.617,199998,0.943947,0,0,0,0
3538.82,3558,91.2825,0,0,61.6165,61.6165,0,39.4549,299997,0.200645,0,0,0,0,6349,6349,288.722,0,0.02,198.853,198.853,0,143.781,99999,0.33679,0,0,0,0,3943.75,3943.75,233.246,0,0,189.09,189.09,0,0,448,6.31786,0,0,0,0,17489.7,17489.7,2142.87,0,0,381.834,381.834,0,353.417,199998,0.964348,0,0,0,0
3551.34,3558,154.555,0,0,57.2936,57.2936,0,49.2765,299997,0.206,0,0,0,0,6349,6349,369.371,0,0.02,210.214,210.214,0,159.029,99999,0.345158,0,0,0,0,3943.75,3943.75,184.589,0,0,177.054,177.054,0,0,448,6.47413,0,0,0,0,17489.7,17489.7,2604.46,0,0,363.831,363.831,0,305.364,199998,0.983786,0,0,0,0
3558,3558,645.799,0,0,55.7754,55.7754,0,49.2696,299997,0.209394,0,0,0,0,6349,6349,1607.53,0,0.02,195.979,195.979,0,180.774,99999,0.35285,0,0,0,0,3943.75,3943.75,494.953,0,0,168.464,168.464,0,0,448,6.61969,0,0,0,0,17489.7,17489.7,7000.15,0,0,373.547,373.547,0,312.876,199998,1.0029,0,0,0,0
