0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_3,1alloc_4,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,3volume,3s_area,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4s_area,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,6volume,6demand,6up_spill,6ww_inflow,6catch_inflow,6evap,6ds_spill,6alloc_0,6alloc_1,6alloc_2,6alloc_3,6alloc_4,7volume,7demand,7up_spill,7ww_inflow,7catch_inflow,7evap,7ds_spill,8volume,8demand,8up_spill,8ww_inflow,8catch_inflow,8evap,8ds_spill,9volume,9demand,9up_spill,9ww_inflow,9catch_inflow,9evap,9ds_spill,10demand,10up_spill,10ww_inflow,10catch_inflow,10ds_spill,11volume,11s_area,11demand,11up_spill,11ww_inflow,11catch_inflow,11evap,11ds_spill,18demand,19demand
6349,1,205.921,0,0,2587.41,16.546,2364.94,14700,452.008,2364.94,52.6944,9467.4,-338.162,11771.2,14700,20000,2789.66,85.7787,0,0,1007.2,-40.9895,962.411,200,1,2.74975,0,0,20.556,0.15478,17.6515,2909,1,39.995,0,0,537.882,7.739,490.148,449,1,6.17318,0,0,491.631,3.28134,482.176,10297.6,192.328,989.976,144.395,16762,215.763,17488.3,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,670.33,0,670.33,0,0,12032,0,2174,0,14206,0,0,2364.94,0,0,0,2364.94,0,14206,0,9467.4,23673.4,0,1,0,42794.4,0,0,0,42794.4,15.4,63.7
6349,1,168.683,0,0,602.32,-6.3861,440.023,14700,401.231,440.023,49.6434,1600.1,-66.3294,1754.86,14700,20000,2789.66,76.1427,0,0,329.62,-8.50998,261.987,200,1,3.98643,0,0,4.6068,-0.059739,0.680113,2909,1,57.9826,0,0,120.545,-2.98695,65.549,449,1,8.94953,0,0,110.179,-1.26647,102.496,10297.6,179.872,168.725,133.634,4613.7,-83.2762,4819.46,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,271.49,0,271.49,0,0,2141.64,0,1122.6,0,3264.24,0,0,440.023,0,0,0,440.023,0,3264.24,0,1600.1,4864.34,0,1,0,10217.3,0,0,0,10217.3,15.4,63.7
6349,1,159.425,0,0,603.3,19.1586,424.717,14700,498.671,424.717,38.7921,1532.1,51.3872,1445.55,14700,20000,2789.66,94.6341,0,0,250.57,6.51002,149.426,200,1,3.37081,0,0,4.38,0.17922,0.829974,2909,1,49.0284,0,0,114.61,8.961,56.6206,449,1,7.56746,0,0,104.755,3.79946,93.3881,10297.6,231.92,150.839,124.125,4416.7,249.833,4209.91,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,205.55,0,205.55,0,0,1770.14,0,848.1,0,2618.24,0,0,424.717,0,0,0,424.717,0,2618.24,0,1532.1,4150.34,0,1,0,8715.23,0,0,0,8715.23,15.4,63.7
6349,1,242.868,0,0,481.38,-0.580552,239.092,14700,367.055,239.092,36.6629,1175.7,88.7234,995.677,14700,20000,2789.66,69.657,0,0,205.4,7.91003,127.833,200,1,3.16505,0,0,3.4956,-0.0054308,0.335977,2909,1,46.0357,0,0,91.4682,-0.27154,45.704,449,1,7.10555,0,0,83.6031,-0.115133,76.6127,10297.6,212.555,122.653,112.512,3236.3,-7.57053,3266.48,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,137.76,0,137.76,0,0,1399.09,0,507,0,1906.09,0,0,239.092,0,0,0,239.092,0,1906.09,0,1175.7,3081.79,0,1,0,6613.87,0,0,0,6613.87,15.4,63.7
6349,1,227.746,0,0,609.1,-45.1556,426.509,14700,408.641,426.509,55.8524,1511.6,-75.6436,1660.96,14700,20000,2789.66,77.5489,0,0,314.54,-13.5101,250.501,200,1,3.68059,0,0,4.35,-0.42241,1.09182,2909,1,53.5341,0,0,113.825,-21.1205,81.4114,449,1,8.26291,0,0,104.037,-8.95509,104.73,10297.6,189.587,187.233,147.571,3948,-588.84,4682.06,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,174.77,0,174.77,0,0,1957.91,0,554.4,0,2512.31,0,0,426.509,0,0,0,426.509,0,2512.31,0,1511.6,4023.91,0,1,0,9131.23,0,0,0,9131.23,15.4,63.7
6349,1,217.672,0,0,592.288,-13.7885,388.404,14700,505.138,388.404,52.7142,1035.02,-363.852,1334.86,14700,20000,2691.34,95.8614,0,0,1.83232,-9.28928,13.58,198.288,1,3.69947,0,0,1.85857,-0.128985,0,2897.69,1,53.8088,0,0,48.6325,-6.44923,12.579,449,1,8.30531,0,0,44.4507,-2.73447,38.8799,10297.6,192.913,51.4589,146.224,2514.4,-179.805,2698.97,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,36.5683,0,36.5683,0,0,1664.71,0,1241.37,0,2906.08,0,0,388.404,0,0,0,388.404,0,2906.08,0,1035.02,3941.1,0,1,0,6690.22,0,0,0,6690.22,15.4,63.7
6349,1,211.32,0,0,1134.64,-24.4118,947.735,14700,375.516,947.735,52.2174,1020.08,-50.8386,1695.36,14700,20000,2623.98,68.7512,0,0,11.2863,0.869489,9.03,199.963,1,3.45531,0,0,4.90183,-0.228361,0,2909,1,50.4943,0,0,128.265,-11.4181,77.8824,449,1,7.82413,0,0,117.236,-4.84126,114.253,10297.6,183.226,192.135,137.721,1914.9,-318.335,2379.87,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,40.5764,0,40.5764,0,0,2098.03,0,144.033,0,2242.06,0,0,947.735,0,0,0,947.735,0,2242.06,0,1020.08,3262.14,0,1,0,5691.62,0,0,0,5691.62,15.4,63.7
6349,1,237.965,0,0,3976.13,-19.0389,3757.21,14700,412.577,3757.21,50.6935,3178.48,-163.143,6736.94,14700,20000,2560.96,73.6457,0,0,26.7907,7.13528,9.03,200,1,3.53377,0,0,13.6752,-0.1781,10.2825,2909,1,51.4082,0,0,357.835,-8.90499,315.332,449,1,7.93479,0,0,327.066,-3.77572,322.907,10297.6,204.765,648.521,132.282,3336.92,-248.271,4161.22,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,102.825,0,102.825,0,0,7034.61,0,632.838,0,7667.45,0,0,3757.21,0,0,0,3757.21,0,7667.45,0,3178.48,10845.9,0,1,0,15119,0,0,0,15119,15.4,63.7
6349,1,245.167,0,0,3343.16,-33.5374,3131.53,14700,457.917,3131.53,57.0854,5303.83,-56.6,8091.13,14700,20000,2501.64,79.7758,0,0,8.90669,-20.5861,9.03,200,1,3.40141,0,0,10.7144,-0.313727,7.62674,2909,1,49.4735,0,0,280.361,-15.6863,246.573,449,1,7.63617,0,0,256.253,-6.651,255.268,10297.6,193.863,509.468,144.482,3608.14,-437.335,4505.56,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,78.6357,0,78.6357,0,0,8416.91,0,732.063,0,9148.97,0,0,3131.53,0,0,0,3131.53,0,9148.97,0,5303.83,14452.8,0,1,0,19046,0,0,0,19046,15.4,63.7
6349,1,219.989,0,0,14085,-9.34802,13874.4,14700,448.753,13874.4,58.8132,23515.2,-570.63,37570.2,14700,20000,2513.4,76.3687,0,0,50.6148,-46.5405,9.03,200,1,3.53074,0,0,70.8869,-0.0874464,67.4436,2909,1,51.3546,0,0,1854.87,-4.37232,1807.89,449,1,7.92651,0,0,1695.38,-1.85386,1689.3,10297.6,194.516,3564.64,145.994,10146.3,-121.9,13784.3,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,143.308,0,143.308,0,0,37930.5,0,1002.23,0,38932.7,0,0,13874.4,0,0,0,13874.4,0,38932.7,0,23515.2,62447.9,0,1,0,76384.5,0,0,0,76384.5,15.4,63.7
6349,1,233.825,0,0,2013.09,-19.5462,1798.81,14700,334.75,1798.81,66.9029,4032.35,-46.4548,5609.77,14700,20000,2482.86,57.2355,0,0,28.9316,-6.79702,9.03,200,1,3.51686,0,0,17.8729,-0.182845,14.5389,2909,1,51.1527,0,0,467.674,-9.14227,425.663,449,1,7.89534,0,0,427.46,-3.87632,423.441,10297.6,193.876,863.643,124.556,9068.61,-254.887,10117.8,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,94.8281,0,94.8281,0,0,5965.28,0,699.987,0,6665.27,0,0,1798.81,0,0,0,1798.81,0,6665.27,0,4032.35,10697.6,0,1,0,20919.3,0,0,0,20919.3,15.4,63.7
6349,1,223.475,0,0,1283.21,-12.1133,1071.84,14700,396.316,1071.84,77.1715,1885.35,-124.808,2762.85,14700,20000,2418.47,66.9386,0,0,12.6739,1.0968,9.03,200,1,3.56599,0,0,12.64,-0.113315,9.18733,2909,1,51.8674,0,0,330.747,-5.66573,284.545,449,1,8.00566,0,0,302.307,-2.40227,296.704,10297.6,231.844,590.436,124.376,4658.81,-157.96,5299.74,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,78.3939,0,78.3939,0,0,3029.41,0,559.742,0,3589.15,0,0,1071.84,0,0,0,1071.84,0,3589.15,0,1885.35,5474.49,0,1,0,10861.7,0,0,0,10861.7,15.4,63.7
6349,1,240.597,0,0,534.128,-23.7081,317.239,14700,439.183,317.239,73.7558,975.759,-21.8581,949.428,14700,20000,2370.3,72.2552,0,0,18.51,-14.6005,9.03,200,1,3.29651,0,0,4.43112,-0.221778,1.35639,2909,1,47.9478,0,0,115.948,-11.0889,79.0888,449,1,7.40067,0,0,105.978,-4.70169,103.279,10297.6,193.919,183.724,121.349,2533.42,-309.159,2953.74,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,73.584,0,73.584,0,0,1264.45,0,1251.69,0,2516.13,0,0,317.239,0,0,0,317.239,0,2516.13,0,975.759,3491.89,0,1,0,6528.24,0,0,0,6528.24,15.4,63.7
6349,1,240.8,0,0,5363.8,-27.9398,5150.94,14700,401.284,5150.94,79.4068,8436.56,-591.232,13856.9,14700,20000,2364.58,64.7049,0,0,24.608,-43.4139,9.03,200,1,3.39499,0,0,48.0571,-0.261364,44.9235,2909,1,49.3801,0,0,1257.49,-13.0682,1221.18,449,1,7.62174,0,0,1149.37,-5.54091,1147.29,10297.6,201.926,2413.39,124.081,31255.4,-364.341,33955.3,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,373.055,0,373.055,0,0,14204.6,0,3325.79,0,17530.4,0,0,5150.94,0,0,0,5150.94,0,17530.4,0,8436.56,25967,0,1,0,60304.4,0,0,0,60304.4,15.4,63.7
6349,1,211.988,0,0,3531.03,-51.5286,3370.57,14700,373.297,3370.57,80.8028,3779.42,6.53071,6850.97,14700,20000,2407.26,60.0471,0,0,128.113,16.3595,9.03,200,1,3.21601,0,0,26.3624,-0.482026,23.6285,2909,1,46.7769,0,0,689.817,-24.1013,667.141,449,1,7.21995,0,0,630.502,-10.2189,633.501,10297.6,213.073,1324.27,118.616,28498.4,-671.944,30400.2,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,686.048,0,686.048,0,0,7159.5,0,1259.76,0,8419.25,0,0,3370.57,0,0,0,3370.57,0,8419.25,0,3779.42,12198.7,0,1,0,43293.9,0,0,0,43293.9,15.4,63.7
6349,1,230.165,0,0,892.057,-10.4752,672.367,14700,400.583,672.367,74.1683,2212.73,118.358,2440.32,14700,20000,2372.06,65.5992,0,0,40.2751,0.846875,9.03,200,1,3.62636,0,0,7.17774,-0.0979911,3.64938,2909,1,52.7453,0,0,187.818,-4.89955,139.972,449,1,8.14117,0,0,171.668,-2.07741,165.604,10297.6,166.501,309.225,92.7229,11837,-136.6,12209,2460.63,1814.57,3943.75,2078.61,35451.4,0,0,0,0,336.612,0,336.612,0,0,2708.97,0,967.099,0,3676.07,0,0,672.367,0,0,0,672.367,0,3676.07,0,2212.73,5888.8,0,1,0,18443.5,0,0,0,18443.5,15.4,63.7
