0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2s_area,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,8demand
649,1,16.0633,0,0,136.826,3.36253,117.4,10300,178.453,117.4,0,6622.2,211.142,6350.01,7210,2060,1030,30825,23839,64,745.111,143.69,0,8832.09,-254.012,8484.68,6913.31,16925.7,20000,0,0,0,0,143.69,0,143.69,0,0,8484.68,0,235.649,0,8720.33,0,1,0,15070.3,0,0,0,15070.3,20
649,1,16.0104,0,0,882.232,2.76879,863.453,10300,177.866,863.453,0,12169.2,173.86,12680.9,7210,2060,1030,30825,23839,64,625.811,926.491,0,16711.6,371.876,16640.4,6913.31,16925.7,20000,0,0,0,0,926.491,0,926.491,0,0,16640.4,0,466.419,0,17106.8,0,1,0,29787.7,0,0,0,29787.7,20
649,1,19.1457,0,0,206.388,1.64759,185.594,10300,212.698,185.594,0,3015.32,103.457,2884.76,7210,2060,1030,30825,23839,64,686.729,216.742,0,10676.2,335.142,9871.08,6913.31,16925.7,20000,0,0,0,0,216.742,0,216.742,0,0,9871.08,0,335.324,0,10206.4,0,1,0,13091.2,0,0,0,13091.2,20
649,1,16.0139,0,0,29.7906,5.04855,8.72808,10300,177.905,8.72808,0,700.898,317.013,214.708,7210,2060,1030,30825,23839,64,752.036,31.2851,0,6459.4,-448.177,6186.83,6913.31,16925.7,20000,0,0,0,0,31.2851,0,31.2851,0,0,6186.83,0,68.3283,0,6255.15,0,1,0,6469.86,0,0,0,6469.86,20
649,1,16.6751,0,0,36.0398,6.08526,13.2794,10277.7,185.251,13.2794,0,557.668,382.11,25.85,7187.74,2060,1030,30825,23574.7,64,706.789,37.8478,0,869.427,93.5783,490,6800.83,16773.9,19881.2,0,0,0,0,37.8478,0,37.8478,0,0,490,0,15.33,0,505.33,0,1,0,531.18,0,0,0,531.18,20
649,1,17.6457,0,0,76.6727,3.00414,56.0229,10078.4,195.427,56.0229,0,117.01,188.638,25.85,6989.57,2059.22,1029.61,30787.5,23218,64,645.332,80.5191,0,646.981,196.692,490,6672.55,16545.5,19633.4,0,0,0,0,80.5191,0,80.5191,0,0,490,0,24.4912,0,514.491,0,1,0,540.341,0,0,0,540.341,20
649,1,14.1465,0,0,54.5718,-2.67963,43.105,10155.8,152.355,43.105,0,81.8013,-168.261,25.85,7065.82,2060,1030,30825,22535.2,64,696.347,57.3096,0,380.296,412.618,490,6446.32,16088.9,19154.8,0,0,0,0,57.3096,0,57.3096,0,0,490,0,8.50839,0,498.508,0,1,0,524.358,0,0,0,524.358,20
649,1,14.8734,0,0,22.4211,1.31652,6.23119,9987.59,161.93,6.23119,0,51.3014,82.6678,25.85,6899.48,2058.74,1029.37,30780.3,22059,64,655.374,23.5459,0,329.591,23.7629,490,6276.34,15782.6,18815,0,0,0,0,23.5459,0,23.5459,0,0,490,0,13.6127,0,503.613,0,1,0,529.463,0,0,0,529.463,20
638.053,1,14.4115,0,0,3.22165,-0.242544,0,10203.8,153.207,0,0,424.687,-15.23,25.85,7113.76,2060,1030,30825,21634.6,64,657.277,3.38327,0,690.872,265.869,490,6110.57,15524.1,18520.5,0,0,0,0,3.38327,0,3.38327,0,0,490,0,12.2969,0,502.297,0,1,0,528.147,0,0,0,528.147,20
634.991,1,15.2049,0,0,8.37251,-3.77019,0,10300,169.522,0,0,393.036,-236.741,364.015,7210,2060,1030,30825,21449.6,64,626.595,8.79254,0,1170.07,366.86,490,6032.31,15417.3,18400.9,0,0,0,0,8.79254,0,8.79254,0,0,490,0,13.2751,0,503.275,0,1,0,867.29,0,0,0,867.29,20
649,1,16.1294,0,0,143.56,-0.705851,114.127,10300,183.141,114.127,0,692.055,-44.3224,667.363,7210,2060,1030,30825,21851.5,64,720.923,150.762,0,1919.6,5.56883,490,6153.07,15698.4,18852.9,0,0,0,0,150.762,0,150.762,0,0,490,0,40.4041,0,530.404,0,1,0,1197.77,0,0,0,1197.77,20
