0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,5volume,5s_area,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,8demand
649,1,13.1928,0,0,59.6314,2.70588,43.7327,10300,146.564,43.7327,0,983.35,169.91,710.609,7210,2060,1030,30825,23839,608.084,62.6229,0,2215.52,69.1471,1600.92,6913.31,16925.7,20000,0,0,0,0,62.6229,0,62.6229,0,0,1600.92,0,91.3161,0,1692.23,0,1,0,2402.84,0,0,0,2402.84,20
643.296,1,15.8544,0,0,16.9237,6.77359,0,10071.9,176.133,0,0,217.715,425.333,25.85,6997.47,2049.6,1024.8,30643.5,23380.2,706.804,17.7727,0,431.87,-6.44681,490,6796.38,16583.8,19718.1,0,0,0,0,17.7727,0,17.7727,0,0,490,0,39.8529,0,529.853,0,1,0,555.703,0,0,0,555.703,20
649,1,15.5014,0,0,54.0269,7.12565,25.6955,9891.1,168.617,25.6955,0,373.243,447.439,25.85,6820.35,2047.17,1023.59,30581.3,23742.8,568.598,56.7373,0,767.195,-746.161,357,6871.41,16871.4,20000,0,0,0,0,56.7373,0,56.7373,0,0,357,0,71.0861,0,428.086,0,1,0,453.936,0,0,0,453.936,20
649,1,14.9319,0,0,26.3383,-0.292616,11.699,9761.5,156.92,11.699,0,78.9878,-18.3742,25.85,6682.55,2052.63,1026.32,30637.2,23529.2,622.123,27.6596,0,650.974,-72.5893,357,6804.79,16724.4,19985.7,0,0,0,0,27.6596,0,27.6596,0,0,357,0,81.0172,0,438.017,0,1,0,463.867,0,0,0,463.867,20
637.705,1,15.2585,0,0,6.8681,2.90504,0,9619.31,157.112,0,0,241.986,182.415,25.85,6535.88,2055.62,1027.81,30656,23839,619.066,7.21265,0,1508.63,108.652,464.004,6913.31,16925.7,20000,0,0,0,0,7.21265,0,7.21265,0,0,464.004,0,42.2319,0,506.236,0,1,0,532.086,0,0,0,532.086,20
649,1,12.2973,0,0,36.6971,4.50922,8.59519,10088.3,126.035,8.59519,0,1064.38,283.147,25.85,6998.28,2060,1030,30825,23839,528.949,38.5381,0,4180.03,-39.1457,3728.76,6913.31,16925.7,20000,0,0,0,0,38.5381,0,38.5381,0,0,3728.76,0,18.3671,0,3747.13,0,1,0,3772.98,0,0,0,3772.98,20
649,1,12.6436,0,0,91.6653,-0.299109,79.3209,10300,136.338,79.3209,0,320.643,-18.7819,70.6849,7210,2060,1030,30825,23839,579.307,96.2639,0,2015.97,109.639,1423.29,6913.31,16925.7,20000,0,0,0,0,96.2639,0,96.2639,0,0,1423.29,0,51.1613,0,1474.45,0,1,0,1545.14,0,0,0,1545.14,20
649,1,12.4016,0,0,116.82,2.40381,102.015,10159.7,137.775,102.015,0,38.866,150.942,25.85,7070.46,2059.5,1029.75,30791.6,23839,586.005,122.681,0,6364.7,213.91,5687.46,6913.31,16925.7,20000,0,0,0,0,122.681,0,122.681,0,0,5687.46,0,56.1852,0,5743.65,0,1,0,5769.5,0,0,0,5769.5,20
649,1,12.9574,0,0,34.1324,4.46504,16.7099,9991.84,141.163,16.7099,0,157.066,280.372,25.85,6910.61,2054.16,1027.08,30685.9,23839,529.758,35.8447,0,445.15,-1016.4,967.64,6913.31,16925.7,20000,0,0,0,0,35.8447,0,35.8447,0,0,967.64,0,82.5127,0,1050.15,0,1,0,1076,0,0,0,1076,20
649,1,12.0976,0,0,172.836,0.383043,160.356,9925.18,128.816,160.356,0,90.841,24.0524,25.85,6835.18,2060,1030,30825,23839,558.786,181.507,0,547.63,-309.924,480.275,6913.31,16925.7,20000,0,0,0,0,181.507,0,181.507,0,0,480.275,0,55.2959,0,535.571,0,1,0,561.421,0,0,0,561.421,20
